id,name,text
1,Tackle,
2,Guard Press,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."
3,Spike Shot,
4,Rising Lunge,"Flip a coin. If heads, this attack does 30 more damage."
5,Solar Beam,
6,Scratch,
7,Leafage,
8,Trick Cape,You may put an Energy attached to your opponent's Active Pokémon into their hand.
9,Flower Blast,
10,String Haul,"Flip a coin. If heads, switch in 1 of your opponent's Benched Pokémon to the Active Spot."
11,Bug Bite,
12,Surprise Attack,"Flip a coin. If tails, this attack does nothing."
14,Nutrients,Heal 30 damage from 1 of your Pokémon.
15,Spray Fluid,
16,Wire Hang,This attack does 30 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.
18,Furious Kicks,Flip 3 coins. This attack does 10 damage for each heads.
19,Superpowered Throw,This attack does 30 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.
20,Horn Attack,
21,Mach Cross,
22,Fresh-Picked Fruit,Heal 60 damage from 1 of your Benched Pokémon.
23,Razor Leaf,
24,Miracle Powder,"Flip a coin. If heads, choose a Special Condition. Your opponent's Active Pokémon is now affected by that Special Condition."
25,Bug Buzz,
26,Vine Whip,
27,Smash Kick,
28,Slash,
29,Leaf Step,
30,Eerie Tentacles,You may move an Energy from your opponent's Active Pokémon to 1 of their Benched Pokémon.
31,Triple Smash,Flip 3 coins. This attack does 80 damage for each heads.
32,Absorb,Heal 10 damage from this Pokémon.
33,Light Punch,
35,String Shot,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed."
36,Slap,
37,Apply Oil,"During your opponent's next turn, if the Defending Pokémon tries to attack, your opponent flips a coin. If tails, that attack doesn't happen."
38,Spore,Your opponent's Active Pokémon is now Asleep.
39,Ram,
40,Waterfall,
41,Tyrannical Tail,"If your opponent's Active Pokémon already has any damage counters on it, this attack does 180 more damage."
42,Hot Bite,Your opponent's Active Pokémon is now Burned.
43,Super Spicy Breath,"If this Pokémon has any Fire Energy attached, this attack does 90 more damage."
44,Vivid Charge,"Search your deck for up to 3 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck."
45,Wave Splash,
46,Dig a Little,"Flip a coin. If heads, discard the top card of your opponent's deck."
48,Bite,
49,Rolling Tackle,
50,Headbutt,
51,Undersea Tunnel,"Flip 3 coins. For each heads, discard the top 3 cards of your opponent's deck."
52,Passionate Singing,Attach up to 2 Basic Energy cards from your discard pile to your Pokémon in any way you like.
53,Blazing Shout,This Pokémon also does 30 damage to itself.
54,Icicle,
55,Sharp Fin,
56,Heat Blast,
57,Rain Splash,
58,Razor Fin,
59,Hammer In,
