id,cardId,name,supertype,subtypes,hp,types,evolvesFrom,weaknesses,resistances,evolvesTo,retreatCost,convertedRetreatCost,flavorText,artist,rarity,nationalPokedexNumbers,regulationMark,imagesSmall,imagesLarge,rules,number,setId
1,sv1-8,Scatterbug,Pokémon,"[""Basic""]",30,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,This Pokémon scatters poisonous powder to repel enemies. It will eat different plants depending on where it lives.,sowsow,Common,[664],G,/card-images/sv1-8_small.webp,/card-images/sv1-8_large.webp,,8,1
2,sv1-1,Pineco,Pokémon,"[""Basic""]",60,"[""Grass""]",,"[""Fire""]",,,"[""Colorless"",""Colorless""]",2,It spits out a fluid that it uses to glue tree bark to its body. The fluid hardens when it touches air.,Shigenori Negishi,Common,[204],G,/card-images/sv1-1_small.webp,/card-images/sv1-1_large.webp,,1,1
3,sv1-6,Cacturne,Pokémon,"[""Stage 1""]",130,"[""Grass""]",Cacnea,"[""Fire""]",,,"[""Colorless"",""Colorless""]",2,Packs of them follow travelers through the desert until the travelers can no longer move.,DOM,Uncommon,[332],G,/card-images/sv1-6_small.webp,/card-images/sv1-6_large.webp,,6,1
4,sv1-12,Gogoat,Pokémon,"[""Stage 1""]",130,"[""Grass""]",Skiddo,"[""Fire""]",,,"[""Colorless"",""Colorless""]",2,"It can sense the feelings of others by touching them with its horns. This species has assisted people with their work since 5,000 years ago.",Gemi,Common,[673],G,/card-images/sv1-12_small.webp,/card-images/sv1-12_large.webp,,12,1
5,sv1-13,Sprigatito,Pokémon,"[""Basic""]",70,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,Its fluffy fur is similar in composition to plants. This Pokémon frequently washes its face to keep it from drying out.,Saya Tsuruta,Common,[906],G,/card-images/sv1-13_small.webp,/card-images/sv1-13_large.webp,,13,1
6,sv1-15,Meowscarada,Pokémon,"[""Stage 2""]",160,"[""Grass""]",Floragato,"[""Fire""]",,,"[""Colorless""]",1,"This Pokémon uses the reflective fur lining its cape to camouflage the stem of its flower, creating the illusion that the flower is floating.",Ryota Murayama,Rare,[908],G,/card-images/sv1-15_small.webp,/card-images/sv1-15_large.webp,,15,1
7,sv1-16,Tarountula,Pokémon,"[""Basic""]",40,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,"The ball of threads wrapped around its body is elastic enough to deflect the scythes of Scyther, this Pokémon's natural enemy.",Tika Matsuno,Common,[917],G,/card-images/sv1-16_small.webp,/card-images/sv1-16_large.webp,,16,1
8,sv1-18,Tarountula,Pokémon,"[""Basic""]",60,"[""Grass""]",,"[""Fire""]",,,"[""Colorless"",""Colorless""]",2,The thread it secretes from its rear is as strong as wire. The secret behind the thread's strength is the topic of ongoing research.,Kouki Saitou,Common,[917],G,/card-images/sv1-18_small.webp,/card-images/sv1-18_large.webp,,18,1
9,sv1-20,Smoliv,Pokémon,"[""Basic""]",50,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,It protects itself from enemies by emitting oil from the fruit on its head. This oil is bitter and astringent enough to make someone flinch.,yuu,Common,[928],G,/card-images/sv1-20_small.webp,/card-images/sv1-20_large.webp,,20,1
10,sv1-21,Smoliv,Pokémon,"[""Basic""]",60,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,It protects itself from enemies by emitting oil from the fruit on its head. This oil is bitter and astringent enough to make someone flinch.,Shibuzoh.,Common,[928],G,/card-images/sv1-21_small.webp,/card-images/sv1-21_large.webp,,21,1
11,sv1-19,Spidops ex,Pokémon,"[""Stage 1"",""ex""]",260,"[""Grass""]",Tarountula,"[""Fire""]",,,"[""Colorless"",""Colorless""]",2,The thread it secretes from its rear is as strong as wire. The secret behind the thread's strength is the topic of ongoing research.,takuyoa,Double Rare,[918],G,/card-images/sv1-19_small.webp,/card-images/sv1-19_large.webp,"[""Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.""]",19,1
12,sv1-23,Arboliva,Pokémon,"[""Stage 2""]",150,"[""Grass""]",Dolliv,"[""Fire""]",,,"[""Colorless"",""Colorless""]",2,"This calm Pokémon is very compassionate. It will share its delicious, nutrient-rich oil with weakened Pokémon.",Kouki Saitou,Rare,[930],G,/card-images/sv1-23_small.webp,/card-images/sv1-23_large.webp,,23,1
13,sv1-24,Toedscool,Pokémon,"[""Basic""]",50,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,"Though it looks like Tentacool, Toedscool is a completely different species. Its legs may be thin, but it can run at a speed of 30 mph.",Shin Nagasawa,Common,[948],G,/card-images/sv1-24_small.webp,/card-images/sv1-24_large.webp,,24,1
14,sv1-2,Heracross,Pokémon,"[""Basic""]",120,"[""Grass""]",,"[""Fire""]",,,"[""Colorless"",""Colorless""]",2,"With its herculean powers, it can easily throw around an object that is 100 times its own weight.",Taira Akitsu,Uncommon,[214],G,/card-images/sv1-2_small.webp,/card-images/sv1-2_large.webp,,2,1
