id,cardId,attackId,cost,convertedEnergyCost,damage
1,1,1,"[""Grass"",""Colorless""]",2,20
2,2,2,"[""Colorless"",""Colorless""]",2,10
3,3,3,"[""Colorless"",""Colorless"",""Colorless""]",3,110
4,4,4,"[""Colorless"",""Colorless""]",2,30+
5,4,5,"[""Grass"",""Colorless"",""Colorless""]",3,110
6,5,6,"[""Colorless""]",1,10
7,5,7,"[""Grass"",""Colorless""]",2,20
8,6,8,"[""Colorless""]",1,40
9,6,9,"[""Grass"",""Colorless""]",2,130
10,7,10,"[""Colorless""]",1,
11,7,11,"[""Grass""]",1,10
12,8,12,"[""Grass""]",1,30
13,9,1,"[""Colorless"",""Colorless""]",2,30
14,10,14,"[""Grass""]",1,
15,10,15,"[""Grass"",""Colorless""]",2,20
16,11,16,"[""Grass"",""Colorless""]",2,90+
17,12,5,"[""Grass"",""Grass"",""Colorless""]",3,150
18,13,18,"[""Grass""]",1,10×
19,14,19,"[""Grass"",""Colorless""]",2,10+
20,14,20,"[""Grass"",""Grass"",""Colorless""]",3,90
21,15,21,"[""Grass""]",1,60
22,16,22,"[""Grass""]",1,
23,16,23,"[""Grass"",""Colorless""]",2,50
24,17,24,"[""Grass""]",1,50
25,17,25,"[""Grass"",""Colorless""]",2,110
26,18,26,"[""Grass""]",1,10
27,18,27,"[""Colorless"",""Colorless""]",2,20
28,19,28,"[""Colorless""]",1,20
29,19,29,"[""Grass"",""Colorless""]",2,60
30,20,30,"[""Grass""]",1,30
31,20,31,"[""Grass"",""Colorless"",""Colorless""]",3,80×
32,21,32,"[""Grass""]",1,10
33,22,33,"[""Colorless"",""Colorless""]",2,30
34,23,11,"[""Grass"",""Colorless""]",2,30
35,24,35,"[""Grass"",""Colorless""]",2,20
36,25,36,"[""Colorless""]",1,20
37,25,37,"[""Grass"",""Colorless""]",2,40
38,26,38,"[""Grass""]",1,
39,26,39,"[""Colorless"",""Colorless""]",2,10
40,27,40,"[""Water"",""Water"",""Water""]",3,100
41,27,41,"[""Water"",""Water"",""Water"",""Colorless"",""Colorless""]",5,180+
42,28,42,"[""Colorless""]",1,20
43,28,43,"[""Grass"",""Colorless"",""Colorless""]",3,90+
44,29,44,"[""Water""]",1,
45,29,45,"[""Water"",""Colorless""]",2,60
46,30,46,"[""Colorless""]",1,
47,30,39,"[""Colorless"",""Colorless""]",2,20
48,31,48,"[""Fire"",""Colorless""]",2,50
49,31,49,"[""Fire"",""Fire"",""Colorless""]",3,100
50,32,50,"[""Water""]",1,30
51,32,51,"[""Colorless"",""Colorless"",""Colorless""]",3,
52,33,52,"[""Fire""]",1,50
53,33,53,"[""Fire"",""Fire"",""Colorless""]",3,190
54,34,54,"[""Water""]",1,10
55,34,55,"[""Water"",""Colorless"",""Colorless""]",3,60
56,35,56,"[""Fire"",""Fire"",""Colorless""]",3,60
57,36,57,"[""Water""]",1,10
58,36,58,"[""Colorless"",""Colorless""]",2,20
59,37,59,"[""Colorless"",""Colorless""]",2,50
60,37,60,"[""Water"",""Colorless"",""Colorless""]",3,200-
61,38,61,"[""Water""]",1,10
62,39,62,"[""Water"",""Colorless""]",2,50
63,39,63,"[""Water"",""Water"",""Colorless""]",3,160
64,40,57,"[""Water""]",1,20
65,40,65,"[""Water"",""Colorless"",""Colorless""]",3,70
66,41,66,"[""Water"",""Colorless"",""Colorless""]",3,140
67,42,67,"[""Water""]",1,10
68,43,68,"[""Colorless""]",1,10
69,44,69,"[""Fire""]",1,30×
70,45,70,"[""Colorless""]",1,
71,45,71,"[""Grass"",""Colorless"",""Colorless""]",3,50
72,46,72,"[""Fire"",""Fire""]",2,30+
73,46,73,"[""Fire"",""Fire"",""Fire""]",3,250
74,47,74,"[""Colorless"",""Colorless""]",2,30
75,47,75,"[""Fire"",""Colorless"",""Colorless""]",3,80×
76,48,76,"[""Colorless""]",1,10
77,48,77,"[""Fire"",""Fire"",""Colorless""]",3,50
78,49,78,"[""Fire""]",1,30
79,50,79,"[""Water"",""Colorless""]",2,60
80,51,80,"[""Colorless"",""Colorless""]",2,50+
81,52,81,"[""Water"",""Colorless""]",2,30
82,52,82,"[""Water"",""Water"",""Colorless""]",3,120
83,53,83,"[""Colorless""]",1,
84,53,84,"[""Fire"",""Fire"",""Fire""]",3,70
85,54,48,"[""Colorless""]",1,10
86,54,86,"[""Fire"",""Colorless""]",2,30
87,55,87,"[""Colorless""]",1,30
88,55,88,"[""Fire"",""Fire"",""Colorless""]",3,150
89,56,89,"[""Fire"",""Fire"",""Colorless""]",3,90
90,57,90,"[""Colorless""]",1,
91,57,50,"[""Water"",""Colorless""]",2,20
92,58,92,"[""Water""]",1,
93,59,93,"[""Colorless""]",1,10
94,59,94,"[""Water"",""Colorless""]",2,20
95,60,1,"[""Colorless"",""Colorless""]",2,30
96,61,96,"[""Colorless"",""Colorless""]",2,50×
97,61,97,"[""Water"",""Water"",""Colorless"",""Colorless""]",4,120
98,62,98,"[""Colorless""]",1,
99,62,99,"[""Lightning""]",1,10
100,63,100,"[""Lightning""]",1,20
101,63,101,"[""Lightning"",""Lightning""]",2,90
102,64,102,"[""Water""]",1,
103,64,103,"[""Water""]",1,30
104,65,104,"[""Colorless""]",1,
105,66,105,"[""Lightning""]",1,10
